"order"	"DCC.id"	"Name"	"developmental.stage"	"antibody"	"target"	"strain"	"temperature"	"GEO"	"input_1"	"ip_1"	"name_1"	"genotype_1"	"strain_1"	"stage_1"	"sex_1"	"replicate_1"	"group_1"
61	"modENCODE_5209"	"seq-SDQ3866 MRE11 FEM2 AD"	"Germline containing young adult"	"MRE-11_SDQ3866"	"mre-11"	"DH245"	"20 degree celsius"	"GSM1217291;GSM1217292;GSM1217293;GSM1217294"	"SRR1198407"	"SRR1198409"	"seq-SDQ3866_MRE11_FEM2_AD_Input_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	61
61	"modENCODE_5209"	"seq-SDQ3866 MRE11 FEM2 AD"	"Germline containing young adult"	"MRE-11_SDQ3866"	"mre-11"	"DH245"	"20 degree celsius"	"GSM1217291;GSM1217292;GSM1217293;GSM1217294"	"SRR1198408"	"SRR1198409"	"seq-SDQ3866_MRE11_FEM2_AD_Input_Rep2;seq-SDQ3866_MRE11_FEM2_AD_ChIP_Rep2"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep2"	61
62	"modENCODE_5208"	"seq-SDQ3853 MSH5 FEM2 AD"	"Germline containing young adult"	"MSH-5_SDQ3853"	"msh-5"	"DH245"	"20 degree celsius"	"GSM1217287;GSM1217288;GSM1217289;GSM1217290"	"SRR1198403"	"SRR1198405"	"seq-SDQ3853_MSH5_FEM2_AD_Input_Rep1;seq-SDQ3853_MSH5_FEM2_AD_ChIP_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	62
62	"modENCODE_5208"	"seq-SDQ3853 MSH5 FEM2 AD"	"Germline containing young adult"	"MSH-5_SDQ3853"	"msh-5"	"DH245"	"20 degree celsius"	"GSM1217287;GSM1217288;GSM1217289;GSM1217290"	"SRR1198404"	"SRR1198406"	"seq-SDQ3853_MSH5_FEM2_AD_Input_Rep2;seq-SDQ3853_MSH5_FEM2_AD_ChIP_Rep2"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep2"	62
63	"modENCODE_5207"	"seq-SDQ3849 CHD3 FEM2 AD"	"Germline containing young adult"	"CHD-3_SDQ3849"	"chd-3"	"DH245"	"20 degree celsius"	"GSM1217285;GSM1217286"	"SRR1198401"	"SRR1198402"	""	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	63
64	"modENCODE_5193"	"seq-SDQ2366 MRE11 FEM2 AD"	"Germline containing young adult"	"MRE-11_SDQ2366"	"mre-11"	"DH245"	"20 degree celsius"	"GSM1217281;GSM1217282;GSM1217283;GSM1217284"	"SRR1198397"	"SRR1198399"	"seq-SDQ2366_MRE11_FEM2_AD_Input_Rep1;seq-SDQ2366_MRE11_FEM2_AD_ChIP_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	64
64	"modENCODE_5193"	"seq-SDQ2366 MRE11 FEM2 AD"	"Germline containing young adult"	"MRE-11_SDQ2366"	"mre-11"	"DH245"	"20 degree celsius"	"GSM1217281;GSM1217282;GSM1217283;GSM1217284"	"SRR1198398"	"SRR1198400"	"seq-SDQ2366_MRE11_FEM2_AD_Input_Rep2;seq-SDQ2366_MRE11_FEM2_AD_ChIP_Rep2"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep2"	64
65	"modENCODE_5190"	"seq-SDQ2356 MRE11 FEM2 AD"	"Germline containing young adult"	"SDQ2356-MRE11"	"mre-11"	"DH245"	"20 degree celsius"	"GSM1217277;GSM1217278;GSM1217279;GSM1217280"	"SRR1198394"	"SRR1198396"	"seq-SDQ2356_MRE11_FEM2_AD_Input_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	65
65	"modENCODE_5190"	"seq-SDQ2356 MRE11 FEM2 AD"	"Germline containing young adult"	"SDQ2356-MRE11"	"mre-11"	"DH245"	"20 degree celsius"	"GSM1217277;GSM1217278;GSM1217279;GSM1217280"	"SRR1198395"	"SRR1198396"	"seq-SDQ2356_MRE11_FEM2_AD_Input_Rep2;seq-SDQ2356_MRE11_FEM2_AD_ChIP_Rep2"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep2"	65
66	"modENCODE_5189"	"seq-SDQ1665 1666 MRG1 FEM2 AD"	"Germline containing young adult"	"SDQ16651666-MRG1"	"mrg-1"	"DH245"	"20 degree celsius"	"GSM1206398;GSM1206399;GSM1206400;GSM1206401"	"SRR1163635"	"SRR1163637"	"seq-SDQ1665_1666_MRG1_FEM2_AD_Input_Rep1;seq-SDQ1665_1666_MRG1_FEM2_AD_ChIP_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	66
66	"modENCODE_5189"	"seq-SDQ1665 1666 MRG1 FEM2 AD"	"Germline containing young adult"	"SDQ16651666-MRG1"	"mrg-1"	"DH245"	"20 degree celsius"	"GSM1206398;GSM1206399;GSM1206400;GSM1206401"	"SRR1163636"	"SRR1163638"	"seq-SDQ1665_1666_MRG1_FEM2_AD_Input_Rep2;seq-SDQ1665_1666_MRG1_FEM2_AD_ChIP_Rep2"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep2"	66
67	"modENCODE_5188"	"seq-SDQ0835 SCC1 FEM2 AD"	"Germline containing young adult"	"SCC-1_SDQ0835"	"scc-1"	"DH245"	"20 degree celsius"	"GSM1217275;GSM1217276"	"SRR1198392"	"SRR1198393"	"seq-SDQ0835_SCC1_FEM2_AD_Input_Rep1;seq-SDQ0835_SCC1_FEM2_AD_ChIP_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	67
68	"modENCODE_5187"	"seq-SDQ0821 SCC1 FEM2 AD"	"Germline containing young adult"	"SCC-1_SDQ0821"	"scc-1"	"DH245"	"20 degree celsius"	"GSM1206396;GSM1206397"	"SRR1163633"	"SRR1163634"	"seq-SDQ0821_SCC1_FEM2_AD_Input_Rep1;seq-SDQ0821_SCC1_FEM2_AD_ChIP_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	68
69	"modENCODE_5186"	"seq-SDQ0812 COH1 FEM2 AD"	"Germline containing young adult"	"COH-1_SDQ0812"	"coh-1"	"DH245"	"20 degree celsius"	"GSM1206392;GSM1206393;GSM1206394;GSM1206395"	"SRR1163629"	"SRR1163631"	"seq-SDQ0812_COH1_FEM2_AD_Input_Rep1;seq-SDQ0812_COH1_FEM2_AD_ChIP_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	69
69	"modENCODE_5186"	"seq-SDQ0812 COH1 FEM2 AD"	"Germline containing young adult"	"COH-1_SDQ0812"	"coh-1"	"DH245"	"20 degree celsius"	"GSM1206392;GSM1206393;GSM1206394;GSM1206395"	"SRR1163630"	"SRR1163632"	"seq-SDQ0812_COH1_FEM2_AD_Input_Rep2;seq-SDQ0812_COH1_FEM2_AD_ChIP_Rep2"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep2"	69
70	"modENCODE_3931"	"seq-SDQ2370 LIN53 N2 LTemb"	"DevStageWorm:Late Embryos:JL:1"	"SDQ2370-LIN53"	"lin-53"	"N2"	"20 degree celsius"	"GSM1217243;GSM1217244;GSM1217245;GSM1217246"	"SRR1198360"	"SRR1198362"	"seq-SDQ2370_LIN53_N2_LTemb_Input_Rep1;seq-SDQ2370_LIN53_N2_LTemb_ChIP_Rep1"	"wild type"	"N2"	"Late Embryos"	"hermaphrodite"	"rep1"	70
70	"modENCODE_3931"	"seq-SDQ2370 LIN53 N2 LTemb"	"DevStageWorm:Late Embryos:JL:1"	"SDQ2370-LIN53"	"lin-53"	"N2"	"20 degree celsius"	"GSM1217243;GSM1217244;GSM1217245;GSM1217246"	"SRR1198361"	"SRR1198363"	"seq-SDQ2370_LIN53_N2_LTemb_Input_Rep2;seq-SDQ2370_LIN53_N2_LTemb_ChIP_Rep2"	"wild type"	"N2"	"Late Embryos"	"hermaphrodite"	"rep2"	70
71	"modENCODE_3929"	"seq-SDQ3166 LIN37 N2 LTemb"	"DevStageWorm:Late Embryos:JL:1"	"BH00003_LIN37"	"lin-37"	"N2"	"20 degree celsius"	"GSM1195395;GSM1195396;GSM1195397;GSM1195398"	"SRR1265822"	"SRR1265824"	"seq-SDQ3166_LIN37_N2_LTemb_Input_Rep1;seq-SDQ3166_LIN37_N2_LTemb_ChIP_Rep1"	"wild type"	"N2"	"Late Embryos"	"hermaphrodite"	"rep1"	71
71	"modENCODE_3929"	"seq-SDQ3166 LIN37 N2 LTemb"	"DevStageWorm:Late Embryos:JL:1"	"BH00003_LIN37"	"lin-37"	"N2"	"20 degree celsius"	"GSM1195395;GSM1195396;GSM1195397;GSM1195398"	"SRR1265823"	"SRR1265825"	"seq-SDQ3166_LIN37_N2_LTemb_Input_Rep2;seq-SDQ3166_LIN37_N2_LTemb_ChIP_Rep2"	"wild type"	"N2"	"Late Embryos"	"hermaphrodite"	"rep2"	71
72	"modENCODE_3923"	"seq-SDQ0811 RAD51 FEM2 AD"	"Germline containing young adult"	"SDQ0811-RAD51"	"rad-51"	"DH245"	"20 degree celsius"	"GSM1217239;GSM1217240;GSM1217241;GSM1217242"	"SRR1198359"	NA	"seq-SDQ0811_RAD51_FEM2_AD_Input_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	72
72	"modENCODE_3923"	"seq-SDQ0811 RAD51 FEM2 AD"	"Germline containing young adult"	"SDQ0811-RAD51"	"rad-51"	"DH245"	"20 degree celsius"	"GSM1217239;GSM1217240;GSM1217241;GSM1217242"	"SRR1198359"	NA	NA	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep2"	72
73	"modENCODE_3917"	"seq-SDQ4501 T09A5.8 FEM2 AD"	"Germline containing young adult"	"T09A5.8_SDQ4501"	"T09A5.8"	"DH245"	"20 degree celsius"	"GSM1195391;GSM1195392;GSM1195393;GSM1195394"	"SRR1265818"	"SRR1265820"	"seq-SDQ4501_T09A5.8_FEM2_AD_Input_Rep1;seq-SDQ4501_T09A5.8_FEM2_AD_ChIP_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	73
73	"modENCODE_3917"	"seq-SDQ4501 T09A5.8 FEM2 AD"	"Germline containing young adult"	"T09A5.8_SDQ4501"	"T09A5.8"	"DH245"	"20 degree celsius"	"GSM1195391;GSM1195392;GSM1195393;GSM1195394"	"SRR1265819"	"SRR1265821"	"seq-SDQ4501_T09A5.8_FEM2_AD_Input_Rep2;seq-SDQ4501_T09A5.8_FEM2_AD_ChIP_Rep2"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep2"	73
74	"modENCODE_3574"	"seq-SDQ2370 LIN53 N2 L3"	"L3 Larval Stage"	"SDQ2370-LIN53"	"lin-53"	"N2"	"20 degree celsius"	"GSM1217231;GSM1217232;GSM1217233;GSM1217234"	"SRR1198351"	"SRR1198353"	"seq-SDQ2370_LIN53_N2_L3_Input_Rep1;seq-SDQ2370_LIN53_N2_L3_ChIP_Rep1"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite"	"rep1"	74
74	"modENCODE_3574"	"seq-SDQ2370 LIN53 N2 L3"	"L3 Larval Stage"	"SDQ2370-LIN53"	"lin-53"	"N2"	"20 degree celsius"	"GSM1217231;GSM1217232;GSM1217233;GSM1217234"	"SRR1198352"	"SRR1198354"	"seq-SDQ2370_LIN53_N2_L3_Input_Rep2;seq-SDQ2370_LIN53_N2_L3_ChIP_Rep2"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite"	"rep2"	74
75	"modENCODE_3569"	"seq-JA00001 HTZ1 N2 L3"	"L3 Larval Stage"	"HTZ-1_JA00001"	"htz-1"	"N2"	"20 degree celsius"	"GSM1206280;GSM1206281;GSM1206282;GSM1206283"	"SRR1159142"	"SRR1159144"	"seq-JA00001_HTZ1_N2_L3_Input_Rep1;seq-JA00001_HTZ1_N2_L3_ChIP_Rep1"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep1"	75
75	"modENCODE_3569"	"seq-JA00001 HTZ1 N2 L3"	"L3 Larval Stage"	"HTZ-1_JA00001"	"htz-1"	"N2"	"20 degree celsius"	"GSM1206280;GSM1206281;GSM1206282;GSM1206283"	"SRR1159143"	"SRR1159145"	"seq-JA00001_HTZ1_N2_L3_Input_Rep2;seq-JA00001_HTZ1_N2_L3_ChIP_Rep2"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep2"	75
