"order"	"DCC.id"	"Name"	"developmental.stage"	"antibody"	"target"	"strain"	"temperature"	"GEO"	"Input_SRR"	"IP_SRR"	"input_1"	"ip_1"	"name_1"	"genotype_1"	"strain_1"	"stage_1"	"sex_1"	"replicate_1"	"group_1"
55	"modENCODE_5044"	"seq-UP07448 H3K27me1 24439 N2 L3"	"L3 Larval Stage "	"UP07448_H3K27me1:24439 "	"H3K27me1 "	"N2 "	"20 degree celsius "	"GSM1206304;GSM1206305;GSM1206306;GSM1206307"	""	""	"SRR1163541"	"SRR1163543"	"seq-UP07448_H3K27me1:24439_N2_L3_Input_Rep1;seq-UP07448_H3K27me1:24439_N2_L3_ChIP_Rep1"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep1"	55
55	"modENCODE_5044"	"seq-UP07448 H3K27me1 24439 N2 L3"	"L3 Larval Stage "	"UP07448_H3K27me1:24439 "	"H3K27me1 "	"N2 "	"20 degree celsius "	"GSM1206304;GSM1206305;GSM1206306;GSM1206307"	""	""	"SRR1163542"	"SRR1163544"	"seq-UP07448_H3K27me1:24439_N2_L3_Input_Rep2;seq-UP07448_H3K27me1:24439_N2_L3_ChIP_Rep2"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep2"	55
56	"modENCODE_5045"	"seq-UP07449 H3K27me3 24440 N2 L3"	"L3 Larval Stage "	"UP07449_H3K27me3:24440 "	"H3K27me3 "	"N2 "	"20 degree celsius "	"GSM1206308;GSM1206309;GSM1206310;GSM1206311"	""	""	"SRR1163545"	"SRR1163547"	"seq-UP07449_H3K27me3:24440_N2_L3_Input_Rep1;seq-UP07449_H3K27me3:24440_N2_L3_ChIP_Rep1"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep1"	56
56	"modENCODE_5045"	"seq-UP07449 H3K27me3 24440 N2 L3"	"L3 Larval Stage "	"UP07449_H3K27me3:24440 "	"H3K27me3 "	"N2 "	"20 degree celsius "	"GSM1206308;GSM1206309;GSM1206310;GSM1206311"	""	""	"SRR1163546"	"SRR1163548"	"seq-UP07449_H3K27me3:24440_N2_L3_Input_Rep2;seq-UP07449_H3K27me3:24440_N2_L3_ChIP_Rep2"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep2"	56
57	"modENCODE_5244"	"seq-WA30335199 H3Ser10 FEM2 AD"	"Germline containing young adult "	"WA30335199-H3S10ph "	"H3S10ph "	"DH245 "	"20 degree celsius "	"GSM1217345;GSM1217346;GSM1217347;GSM1217348"	""	""	"SRR1198459"	"SRR1198461"	"seq-WA30335199_H3Ser10_FEM2_AD_Input_Rep1;seq-WA30335199_H3Ser10_FEM2_AD_ChIP_Rep1"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep1"	57
57	"modENCODE_5244"	"seq-WA30335199 H3Ser10 FEM2 AD"	"Germline containing young adult "	"WA30335199-H3S10ph "	"H3S10ph "	"DH245 "	"20 degree celsius "	"GSM1217345;GSM1217346;GSM1217347;GSM1217348"	""	""	"SRR1198460"	"SRR1198462"	"seq-WA30335199_H3Ser10_FEM2_AD_Input_Rep2;seq-WA30335199_H3Ser10_FEM2_AD_ChIP_Rep2"	"fem-2(b245)III"	"fem-2(b245)"	"Germline containing young adult"	"hermaphrodite"	"rep2"	57
58	"modENCODE_5166"	"seq-WA30532379 H3K4me3 10001 N2 Eemb"	"Early Stage Embryos "	"WA305-34819 H3K4me3 "	"H3K4me3 "	"N2 "	"20 degree celsius "	"GSM1206368;GSM1206369;GSM1206370;GSM1206371"	""	""	"SRR1163605"	"SRR1163607"	"seq-WA30532379_H3K4me3_10001_N2_Eemb_Input_Rep1;seq-WA30532379_H3K4me3_10001_N2_Eemb_ChIP_Rep1"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	58
58	"modENCODE_5166"	"seq-WA30532379 H3K4me3 10001 N2 Eemb"	"Early Stage Embryos "	"WA305-34819 H3K4me3 "	"H3K4me3 "	"N2 "	"20 degree celsius "	"GSM1206368;GSM1206369;GSM1206370;GSM1206371"	""	""	"SRR1163606"	"SRR1163608"	"seq-WA30532379_H3K4me3_10001_N2_Eemb_Input_Rep2;seq-WA30532379_H3K4me3_10001_N2_Eemb_ChIP_Rep2"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	58
59	"modENCODE_5159"	"seq-WA30634849 H3K27ac 8002 N2 Eemb"	"Early Stage Embryos "	"WA306-34849_H3K27ac "	"H3K27ac "	"N2 "	"20 degree celsius "	"GSM1206348;GSM1206349;GSM1206350;GSM1206351"	""	""	"SRR1163585"	"SRR1163587"	"seq-WA30634849_H3K27ac_8002_N2_Eemb_Input_Rep1;seq-WA30634849_H3K27ac_8002_N2_Eemb_ChIP_Rep1"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	59
59	"modENCODE_5159"	"seq-WA30634849 H3K27ac 8002 N2 Eemb"	"Early Stage Embryos "	"WA306-34849_H3K27ac "	"H3K27ac "	"N2 "	"20 degree celsius "	"GSM1206348;GSM1206349;GSM1206350;GSM1206351"	""	""	"SRR1163586"	"SRR1163588"	"seq-WA30634849_H3K27ac_8002_N2_Eemb_Input_Rep2;seq-WA30634849_H3K27ac_8002_N2_Eemb_ChIP_Rep2"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	59
62	"modENCODE_5157"	"seq-WA30834809 H3K4me2 8002 N2 Eemb"	"Early Stage Embryos "	"WA30834809 H3K4me2 "	"H3K4me2 "	"N2 "	"20 degree celsius "	"GSM1206344;GSM1206345;GSM1206346;GSM1206347"	""	""	"SRR1163581"	"SRR1163583"	"seq-WA30834809_H3K4me2_8002_N2_Eemb_Input_Rep1;seq-WA30834809_H3K4me2_8002_N2_Eemb_ChIP_Rep1"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep1"	62
62	"modENCODE_5157"	"seq-WA30834809 H3K4me2 8002 N2 Eemb"	"Early Stage Embryos "	"WA30834809 H3K4me2 "	"H3K4me2 "	"N2 "	"20 degree celsius "	"GSM1206344;GSM1206345;GSM1206346;GSM1206347"	""	""	"SRR1163582"	"SRR1163584"	"seq-WA30834809_H3K4me2_8002_N2_Eemb_Input_Rep2;seq-WA30834809_H3K4me2_8002_N2_Eemb_ChIP_Rep2"	"wild type"	"N2"	"Early Embryo"	"mixed Male and Hermaphrodite population"	"rep2"	62
64	"modENCODE_5253"	"seq-WA30834809 H3K4me2 ojIs9 YA germline"	"Germline containing young adult "	"WA30834809 H3K4me2 "	"H3K4me2 "	"WH223 zyg-12 "	"20 degree celsius "	"GSM1217361;GSM1217362;GSM1217363;GSM1217364"	""	""	"SRR1198475"	"SRR1198477"	"seq-WA30834809_H3K4me2_ojIs9_YA_germline_Input_Rep1;seq-WA30834809_H3K4me2_ojIs9_YA_germline_ChIP_Rep1"	"ojIs9 [zyg-12(all)::GFP + unc-119(+)]."	"WH223"	"Germline containing young adult"	"hermaphrodite"	"rep1"	64
64	"modENCODE_5253"	"seq-WA30834809 H3K4me2 ojIs9 YA germline"	"Germline containing young adult "	"WA30834809 H3K4me2 "	"H3K4me2 "	"WH223 zyg-12 "	"20 degree celsius "	"GSM1217361;GSM1217362;GSM1217363;GSM1217364"	""	""	"SRR1198476"	"SRR1198478"	"seq-WA30834809_H3K4me2_ojIs9_YA_germline_Input_Rep2;seq-WA30834809_H3K4me2_ojIs9_YA_germline_ChIP_Rep2"	"ojIs9 [zyg-12(all)::GFP + unc-119(+)]."	"WH223"	"Germline containing young adult"	"hermaphrodite"	"rep2"	64
65	"modENCODE_3578"	"seq-WA30932379 H3K9ac N2 L3"	"L3 Larval Stage "	"WA30932379_H3K9ac "	"H3K9Acetyl "	"N2 "	"20 degree celsius "	"GSM1195387;GSM1195388;GSM1195389;GSM1195390"	""	""	"SRR1265814"	"SRR1265816"	"seq-WA30932379_H3K9ac_N2_L3_Input_Rep1;seq-WA30932379_H3K9ac_N2_L3_ChIP_Rep1"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep1"	65
65	"modENCODE_3578"	"seq-WA30932379 H3K9ac N2 L3"	"L3 Larval Stage "	"WA30932379_H3K9ac "	"H3K9Acetyl "	"N2 "	"20 degree celsius "	"GSM1195387;GSM1195388;GSM1195389;GSM1195390"	""	""	"SRR1265815"	"SRR1265817"	"seq-WA30932379_H3K9ac_N2_L3_Input_Rep2;seq-WA30932379_H3K9ac_N2_L3_ChIP_Rep2"	"wild type"	"N2"	"L3 Larva"	"mixed Male and Hermaphrodite population"	"rep2"	65
